Date,Open,High,Low,Close,Volume,Adj Close
2014-09-29,3.32,3.57,3.17,3.55,23800,3.55
2014-09-26,3.27,3.41,3.16,3.38,6200,3.38
2014-09-25,3.33,3.42,3.23,3.32,21100,3.32
2014-09-24,3.30,3.50,3.30,3.33,37900,3.33
2014-09-23,3.39,3.40,3.34,3.39,6300,3.39
2014-09-22,3.40,3.40,3.20,3.27,13600,3.27
2014-09-19,3.51,3.53,3.41,3.44,20900,3.44
2014-09-18,3.64,3.65,3.55,3.55,3000,3.55
2014-09-17,3.68,3.77,3.62,3.67,11600,3.67
2014-09-16,3.69,3.73,3.67,3.73,15000,3.73
2014-09-15,3.71,3.74,3.64,3.73,9200,3.73
2014-09-12,3.74,3.77,3.74,3.74,44100,3.74
2014-09-11,3.75,3.78,3.69,3.78,6700,3.78
2014-09-10,3.75,3.83,3.75,3.81,17200,3.81
2014-09-09,3.74,3.77,3.72,3.74,17500,3.74
2014-09-08,3.70,3.78,3.70,3.75,24600,3.75
2014-09-05,3.71,3.78,3.71,3.75,21500,3.75
2014-09-04,3.79,3.91,3.73,3.76,84800,3.76
2014-09-03,3.72,3.84,3.72,3.82,9300,3.82
2014-09-02,3.68,3.72,3.63,3.66,17100,3.66
2014-08-29,3.80,3.80,3.73,3.75,32100,3.75
2014-08-28,3.81,3.88,3.74,3.78,55900,3.78
2014-08-27,3.85,3.90,3.81,3.86,31400,3.86
2014-08-26,3.83,3.86,3.83,3.83,17000,3.83
2014-08-25,3.91,3.91,3.78,3.87,24000,3.87
2014-08-22,3.81,3.87,3.81,3.87,47200,3.87
2014-08-21,3.87,3.91,3.78,3.84,80600,3.84
2014-08-20,3.80,3.90,3.80,3.90,12300,3.90
2014-08-19,3.76,3.81,3.76,3.80,17900,3.80
2014-08-18,3.70,3.78,3.70,3.75,39900,3.75
2014-08-15,3.73,3.79,3.73,3.76,34500,3.76
2014-08-14,3.78,3.80,3.75,3.77,39500,3.77
2014-08-13,3.86,3.89,3.80,3.82,94700,3.82
2014-08-12,3.85,3.88,3.83,3.85,34400,3.85
2014-08-11,4.03,4.03,3.88,3.88,14300,3.88
2014-08-08,3.80,3.93,3.78,3.90,22600,3.90
2014-08-07,3.88,3.88,3.81,3.83,3200,3.83
2014-08-06,3.94,3.95,3.83,3.85,9400,3.85
2014-08-05,3.98,4.00,3.87,3.95,42400,3.95
2014-08-01,4.05,4.18,3.95,4.03,28800,4.03
2014-07-31,4.00,4.08,3.94,4.08,36200,4.08
2014-07-30,4.02,4.07,4.00,4.03,45300,4.03
2014-07-29,3.99,4.03,3.95,4.02,78800,4.02
2014-07-28,3.97,4.00,3.96,4.00,209200,4.00
2014-07-25,3.98,4.00,3.94,3.98,325400,3.98
2014-07-24,3.96,4.00,3.90,3.94,236900,3.94
2014-07-23,3.89,4.00,3.89,3.96,123900,3.96
2014-07-22,3.79,4.06,3.79,3.90,210400,3.90
2014-07-21,3.70,3.76,3.64,3.75,140200,3.75
2014-07-18,3.68,3.69,3.63,3.67,108100,3.67
2014-07-17,3.67,3.72,3.67,3.70,151000,3.70
2014-07-16,3.65,3.72,3.60,3.66,111100,3.66
2014-07-15,3.69,3.74,3.62,3.65,134600,3.65
2014-07-14,3.63,3.76,3.63,3.71,688300,3.71
2014-07-11,3.63,3.73,3.63,3.70,1234500,3.70
2014-07-10,3.69,3.73,3.60,3.60,1296500,3.60
2014-07-09,3.65,3.81,3.65,3.68,1456400,3.68
2014-07-08,3.63,3.68,3.59,3.64,565300,3.64
2014-07-07,3.63,3.67,3.55,3.58,796800,3.58
2014-07-04,3.56,3.68,3.56,3.58,300500,3.58
2014-07-03,3.40,3.72,3.40,3.64,1569500,3.64
2014-07-02,3.34,3.48,3.30,3.45,1874800,3.45
2014-06-30,3.36,3.44,3.35,3.37,386400,3.37
2014-06-27,3.36,3.40,3.35,3.39,231100,3.39
2014-06-26,3.41,3.42,3.36,3.38,213800,3.38
2014-06-25,3.39,3.42,3.38,3.40,861900,3.40
2014-06-24,3.41,3.43,3.39,3.41,1364100,3.41
2014-06-23,3.42,3.49,3.40,3.44,5494900,3.44
2014-06-20,3.16,3.26,3.14,3.20,168800,3.20
2014-06-19,3.10,3.19,3.10,3.19,66200,3.19
2014-06-18,3.07,3.13,3.07,3.13,126400,3.13
2014-06-17,2.95,3.08,2.95,3.08,305900,3.08
2014-06-16,2.97,3.05,2.90,3.05,120400,3.05
2014-06-13,2.97,2.97,2.84,2.88,159900,2.88
2014-06-12,2.92,2.92,2.80,2.85,115200,2.85
2014-06-11,2.85,2.94,2.85,2.89,28800,2.89
2014-06-10,3.03,3.03,2.88,2.89,335700,2.89
2014-06-09,3.03,3.06,2.94,2.94,143200,2.94
2014-06-06,2.97,3.01,2.94,2.98,18900,2.98
2014-06-05,3.10,3.10,2.95,2.97,134300,2.97
2014-06-04,3.05,3.06,2.95,3.06,9200,3.06
2014-06-03,2.96,3.03,2.96,3.01,20800,3.01
2014-06-02,3.05,3.05,2.95,2.98,55100,2.98
2014-05-30,3.00,3.00,2.95,2.99,5500,2.99
2014-05-29,3.10,3.10,2.97,2.98,15100,2.98
2014-05-28,3.07,3.09,3.05,3.05,60400,3.05
2014-05-27,3.17,3.17,3.01,3.06,230200,3.06
2014-05-26,3.14,3.21,3.13,3.21,176000,3.21
2014-05-23,3.10,3.15,3.10,3.13,399100,3.13
2014-05-22,3.11,3.17,3.11,3.13,176900,3.13
2014-05-21,3.06,3.12,3.04,3.08,114000,3.08
2014-05-20,2.94,3.15,2.94,3.06,521900,3.06
2014-05-16,3.14,3.14,2.96,3.01,3351800,3.01
2014-05-15,3.33,3.33,3.14,3.21,174900,3.21
2014-05-14,3.20,3.38,3.20,3.27,259900,3.27
