Code,Name,High,Low,Close,Volume,Change,,
AAA,Allana Potash Corp,0.28,0.27,0.27,173222,-0.01,,3.57
AAB,Aberdeen International I,0.14,0.14,0.14,1000,0.01,,7.69
AAR.UN,Pure Industrial Real Est,4.44,4.41,4.43,377942,0,,0
AAV,Advantage Oil & Gas Ltd.,5.58,5.34,5.41,671095,-0.08,,1.46
AAV.DB.H,Advantage Oil and Gas 5.,100.8,100.7,100.7,123000,-0.3,,0.29
ABK.A,Allbanc Split Corp Class,54.06,53.74,54.03,2200,-0.02,,0.04
ABK.PR.C,Allbanc Split Corp Pref,32.02,32.02,32.02,875,0,,0
ABT,Absolute Software Corp.,6.86,6.72,6.85,65110,0,,0
ABX,Barrick Gold Corporation,16.04,15.81,15.84,1430987,-0.07,,0.44
AC.A,Air Canada Cl.A,8.31,8.03,8.23,261675,0.33,,4.18
AC.B,Air Canada Cl.B,8.33,8.01,8.18,2056143,0.31,,3.94
ACC,Amica Mature,6.98,6.85,6.9,9944,0.01,,0.15
ACD,Accord Financial,8.77,8.77,8.77,400,-0.15,,1.68
ACO.X,Atco Ltd. Cl.I Nv,45.5,44.86,45.01,495622,-0.07,,0.16
ACO.Y,Atco Ltd Cl II,45.25,45.25,45.25,245,0.14,,0.31
ACQ,Autocanada Inc,63.8,60.81,61.25,208109,-0.24,,0.39
ACR.UN,Agellan Commercial REIT,9.22,9.14,9.2,13950,0.1,,1.1
ACZ.UN,American Core Sectors Di,8.93,8.85,8.93,5299,0.03,,0.34
AD,Alaris Royalty Corp.,30.41,29.72,30.09,68686,0.02,,0.07
ADC.UN,Canadian Advantaged Conv,8.51,8.51,8.51,500,0.03,,0.35
ADN,Acadian Timber Corp,14.04,13.9,13.97,2608,0.02,,0.14
ADV,Alderon Iron Ore Corp,0.69,0.65,0.66,98346,-0.01,,1.49
ADW.A,Andrew Peller Limited C,14.55,14.32,14.4,9133,-0.1,,0.69
ADW.B,Andrew Peller Limited C,20.51,20.51,20.51,100,-0.49,,2.33
AEI,Arsenal Energy Inc.,9,8.28,8.38,34435,-0.61,,6.79
AEM,Agnico Eagle Mines Limit,32.31,31.51,31.84,741169,0.28,,0.89
AET.DB,Argent Energy Trust 6.00,77,77,77,6000,2,,2.67
AET.DB.A,Argent Energy Trust 6.50,80,80,80,25000,4,,5.26
AET.UN,Argent Energy Trust,2.1,2.04,2.07,141228,-0.03,,1.43
AEU.UN,Activenergy Income Fund,8.4,8.31,8.31,2119,-0.01,,0.12
AEZ,Aeterna Zentaris Inc.,1.5,1.49,1.5,3355,-0.01,,0.66
AF,Alarmforce J,11.36,11.35,11.35,161189,0,,0
AFN,Ag Growth International,44.75,44.13,44.4,27811,-0.21,,0.47
AFN.DB.A,Ag Growth Intl Inc 5.25,107.6,107,107.5,410000,0.5,,0.47
AGF.B,Agf Management Ltd. Cl.,11.73,11.5,11.6,222490,0.1,,0.87
AGI,Alamos Gold Inc.,8.95,8.75,8.9,289056,0.15,,1.71
AGI.WT,Alamos Gold Inc Warrants,0.53,0.45,0.45,2617,-0.04,,8.16
AGT,Alliance Grain Traders I,28.35,27.2,28,34691,0.16,,0.57
AGU,Agrium Inc,96.07,94.62,95.29,401918,0.81,,0.86
AHF,Aston Hill Financial Inc,1.15,1.13,1.13,63334,0.01,,0.89
AHF.DB,Aston Hill Financial Inc,102.5,102.5,102.5,3000,0,,0
AHY.UN,Advantaged CDN High Yiel,9,9,9,697,0,,0
AI,Atrium Mortgage Investme,11.5,11.32,11.5,10352,0.18,,1.59
AI.DB,Atrium Mortgage Inv Corp,100,100,100,25000,0.25,,0.25
AI.DB.A,Atrium Mortgage Inv Corp,103,103,103,2000,0,,0
AI.DB.B,Atrium Mortgage Inv Corp,99.75,99.61,99.75,28000,0.25,,0.25
AIF,Altus Group Limited,19.82,19.59,19.69,87721,-0.05,,0.25
AIF.DB.A,Altus Group Ltd 6.75 Pct,196.6,196.6,196.6,5000,-5.9,,2.9
AIM,Aimia Inc,16.2,16.09,16.09,280553,-0.07,,0.43
AIM.PR.A,Aimia Inc Pref Series 1,25.25,25.22,25.24,2025,-0.01,,0.04
AIM.PR.C,Aimia Inc Pref Series 3,26.09,26,26.08,5034,0.08,,0.31
AJX,Agjunction Inc,0.63,0.6,0.63,33200,0.03,,5
AKG,Asanko Gold Inc,2.3,2.13,2.25,289382,0.11,,5.14
AKT.A,Akita Drilling Ltd. Cl.,14.38,13.9,13.9,9531,-0.35,,2.46
AKT.B,Akita Cl B,15.01,14.96,15.01,1200,0.66,,4.6
ALA,Altagas Ltd.,47.97,47.15,47.67,495117,0.66,,1.4
ALA.PR.A,Altagas Ltd. Pref A,25.19,25.15,25.15,1067,-0.02,,0.08
ALA.PR.E,Altagas Ltd Pref Series,26.17,26.11,26.14,3495,0.03,,0.11
ALA.PR.G,Altagas Ltd Pref G,25.75,25.65,25.75,6800,0.1,,0.39
ALA.PR.U,Altagas Ltd Pref Series,25.85,25.74,25.83,9675,0.07,,0.27
ALB,Allbanc Split Banc Corp,19.9,19.9,19.9,400,0.1,,0.51
ALB.PR.B,Allbanc Split Corp II Pr,22.3,22.3,22.3,500,0.06,,0.27
ALC,Algoma Central,16.08,16.04,16.08,1860,0.1,,0.63
ALC.DB,Algoma Central Corp 6 PC,113.3,113.3,113.3,14000,0,,0
ALS,Altius Minerals Corporat,11.89,11.63,11.78,44613,0.16,,1.38
AM,Automodular Corporation,2.15,2.1,2.15,4900,0.06,,2.87
AMF,Amorfix Life Science Ltd,0.26,0.26,0.26,1900,0,,0
AMM,Almaden Minerals Ltd.,1.47,1.35,1.47,20536,0.09,,6.52
ANS,Ainsworth Lumber Co Ltd,2.64,2.55,2.57,151547,-0.03,,1.15
ANV,Allied Nevada Gold Corp.,3.43,3.2,3.26,539835,-0.14,,4.12
ANX,Anaconda Mining Inc.,0.05,0.05,0.05,12700,0,,0
AOG.UN,Aston Hill Adv Oil and G,4.69,4.67,4.69,8250,-0.09,,1.88
AOI,Africa Oil Corp,4.7,4.63,4.68,233607,-0.03,,0.64
AP.UN,Allied Properties Real E,34.34,34.09,34.26,257326,0.1,,0.29
APS,Aptose Biosciences Inc,7.99,6.44,7,40742,6.4,,1066.67
APY,Anglo Pacific Group Plc,2.65,2.5,2.65,200,0.1,,3.92
AQA,Aquila Resources Inc.,0.12,0.11,0.11,13500,-0.01,,8.33
AQN,Algonquin Power and Util,8.93,8.83,8.87,222914,0.08,,0.91
AQN.PR.A,Algonquin Power and Util,23.75,23.55,23.55,6869,-0.14,,0.59
AQN.PR.D,Algonquin Power and Util,26.3,25.35,25.35,1175,0.05,,0.2
AR,Argonaut Gold Inc.,3.75,3.56,3.73,495247,0.08,,2.19
ARE,Aecon Group Inc,15.15,14.93,15.06,221688,-0.03,,0.2
ARE.DB,Aecon Group Inc 7.0 Debs,99.97,99.97,99.97,8000,-0.06,,0.06
ARE.DB.A,Aecon Group Inc 6.25 Pct,104,103.5,103.5,38000,-0.6,,0.53
ARE.DB.B,Aecon Group Inc 5.50 Pct,108,107,107.5,73000,0,,0
ARF,Armtec Infrastructure In,0.5,0.43,0.44,112784,-0.05,,10.2
ARF.DB,Armtec Infrastructure In,29.5,29.5,29.5,5000,-0.5,,1.67
ARG,Amerigo Resources Ltd.,0.39,0.36,0.39,79750,0.02,,5.41
ARL,Africo Resources Ltd.,0.43,0.41,0.43,2000,0.02,,4.88
ARX,Arc Resources Ltd.,28.78,28.36,28.47,385985,0,,0
ASR,Alacer Gold Corp,2.11,2,2.11,493697,0.05,,2.43
ATA,Ats Automation,13.01,12.82,12.85,107294,-0.05,,0.39
ATD.A,Alimentation Couche-Tard,36.98,35.81,35.95,3075,-0.2,,0.55
ATD.B,Alimentation Couche-Tard,36.13,35.03,35.1,567252,-0.89,,2.47
ATH,Athabasca Oil Corp,5.39,5.12,5.23,3517312,0.11,,2.15
ATL,Atlatsa Resources Corpor,0.29,0.29,0.29,500,-0.01,,3.33
ATN,Atna Res J,0.1,0.09,0.09,148985,-0.01,,10
ATP,Atlantic Power Corp.,2.6,2.39,2.39,302021,-0.19,,7.36
