uri:/instrument/1.0/MFC.TO/chartdata;type=quote;range=3y/csv
ticker:mfc.to
Company-Name:MANULIFE FIN
Exchange-Name:TOR
unit:DAY
timestamp:
first-trade:19990930
last-trade:20141002
currency:CAD
previous_close_price:11.3700
Date:20111004,20141002
labels:20111004,20120103,20120402,20120703,20121001,20130102,20130401,20130702,20131001,20140102,20140401,20140702,20141001
values:Date,close,high,low,open,volume
close:10.2200,22.4600
high:10.3700,22.7300
low:10.1800,22.2100
open:10.3000,22.4700
volume:871200,19635200
20111004,11.3900,11.3900,10.9100,11.1000,5000000
20111005,11.9500,12.1100,11.4000,11.5000,5800000
20111006,12.2400,12.2800,11.8800,12.0400,4400000
20111007,11.8800,12.3800,11.8400,12.3400,3400000
20111011,12.3600,12.4900,12.0800,12.3500,3800000
20111012,12.8500,13.0500,12.4500,12.4700,4600000
20111013,12.4600,12.8800,12.4100,12.8600,4200000
20111014,12.9400,13.0000,12.6500,12.6700,5200000
20111017,12.3400,12.6500,12.1500,12.6400,5700000
20111018,12.7700,12.7700,12.0900,12.2100,5841300
20111019,12.5100,12.7900,12.4100,12.7500,4000000
20111020,12.4400,12.6400,12.2500,12.4300,3337300
20111021,12.7600,12.8800,12.5700,12.8000,3158400
20111024,13.1600,13.1600,12.7900,12.8500,5472200
20111025,13.0000,13.2800,12.9000,13.1700,9466900
20111026,13.0200,13.2300,12.8600,13.1700,3309500
20111027,13.9400,14.0500,13.5400,13.6000,7533700
20111028,13.6800,13.8800,13.5600,13.7300,4930800
20111031,13.1600,13.4800,13.1600,13.3600,3544000
20111101,12.4200,12.7200,12.3800,12.6300,6775500
20111102,12.5500,12.7200,12.3800,12.6200,5483600
20111103,13.1100,13.1100,12.3000,12.3400,7660100
20111104,12.7900,13.0900,12.6800,13.0600,3484200
20111107,12.5400,12.8100,12.4200,12.7500,4823800
20111108,12.7700,12.8100,12.5000,12.6200,4566500
20111109,12.1100,12.4800,12.1100,12.4600,4817400
20111110,12.0100,12.3200,12.0000,12.2600,5531600
20111111,12.0400,12.2700,12.0400,12.1300,7654100
20111114,12.0000,12.0900,11.8600,12.0100,2600000
20111115,11.7700,11.9700,11.7200,11.9400,4067200
20111116,11.8000,11.9400,11.6700,11.7000,9600000
20111117,11.4900,11.8600,11.4200,11.8100,2721100
20111118,11.3300,11.5600,11.1700,11.5300,6200000
20111121,11.2000,11.2000,10.7900,11.1100,7997800
20111122,11.0800,11.2700,10.9900,11.2300,3579200
20111123,10.7800,11.0400,10.7500,11.0000,6753000
20111124,10.7700,10.9600,10.6900,10.8800,2356400
20111125,10.8400,11.1300,10.7300,10.7600,2619700
20111128,10.9000,11.1900,10.8500,11.1300,4639600
20111129,10.8500,11.0200,10.8000,10.9400,5322900
20111130,10.9900,11.3700,10.8900,11.1500,19635200
20111201,10.9300,11.0700,10.8400,10.8500,4713200
20111202,11.2000,11.3900,11.0000,11.0500,6204300
20111205,11.6300,11.9200,11.3600,11.3800,8488300
20111206,11.3500,11.7300,11.3000,11.7200,7454300
20111207,11.5000,11.5800,11.1600,11.3500,8868900
20111208,11.1600,11.5000,11.0800,11.3800,4463700
20111209,11.3200,11.4000,11.1400,11.1900,4070700
20111212,10.9100,11.1400,10.8500,11.0800,7700000
20111213,10.5300,11.1200,10.5200,10.9300,8100000
20111214,10.3800,10.6600,10.3800,10.5300,13470600
20111215,10.2500,10.5900,10.2500,10.5000,8900000
20111216,10.4100,10.5000,10.3200,10.3200,8929100
20111219,10.2500,10.5200,10.1800,10.4500,6076100
20111220,10.2900,10.4300,10.2700,10.3200,6669200
20111221,10.3500,10.4000,10.2500,10.3000,10076700
20111222,10.6800,10.7300,10.3900,10.4000,4662400
20111223,10.6000,10.6800,10.5200,10.6500,3203400
20111228,10.4500,10.6400,10.3500,10.6400,2484000
20111229,10.6800,10.7600,10.4800,10.5100,1969900
20111230,10.8500,10.8600,10.6200,10.6900,3626200
20120103,11.2000,11.2300,11.0300,11.1500,4466800
20120104,11.2700,11.3300,11.0700,11.1600,3813600
20120105,11.4200,11.4200,11.1100,11.2400,4326200
20120106,11.4300,11.4400,11.3100,11.4300,3084200
20120109,11.5100,11.5300,11.3200,11.4200,3464400
20120110,11.5700,11.6900,11.5400,11.6700,3558700
20120111,11.7600,11.7900,11.5700,11.5700,2700000
20120112,11.8900,11.9300,11.6500,11.8000,3560300
20120113,11.9200,11.9300,11.6500,11.8000,3911400
20120116,11.8800,11.9400,11.8500,11.8800,1346500
20120117,11.9400,12.1000,11.8900,11.9900,7815600
20120118,11.9200,12.0800,11.8400,11.9000,6873100
20120119,12.3300,12.3800,11.9900,12.0500,6258500
20120120,12.6500,12.6800,12.2800,12.3600,4662500
20120123,12.7600,12.9600,12.6600,12.6900,4951400
20120124,12.7200,12.7500,12.5200,12.6000,3200000
20120125,12.5500,12.7500,12.3800,12.7000,4659800
20120126,11.9100,12.4700,11.8800,12.4300,8093600
20120127,11.8700,11.9700,11.7000,11.8400,3545300
20120130,11.8100,11.8300,11.6300,11.7800,2726600
20120131,11.7100,11.9800,11.6900,11.9800,3810700
20120201,11.9400,12.0600,11.8100,11.8200,3522700
20120202,11.9300,11.9800,11.8300,11.9300,3452900
20120203,12.3400,12.4700,12.1500,12.1500,7224300
20120206,12.2700,12.3800,12.1200,12.2300,3131200
20120207,12.0900,12.3900,12.0400,12.3400,2995000
20120208,12.1100,12.2100,11.9800,12.1800,3928500
20120209,11.8800,12.0500,11.7800,11.9600,6384400
20120210,11.7500,11.7600,11.4500,11.7600,7034600
20120213,11.9800,11.9900,11.7700,11.8800,3558900
20120214,11.8700,11.9500,11.6200,11.8500,6194700
20120215,12.0400,12.1100,11.8300,11.9000,5577800
20120216,12.5900,12.6400,11.9600,11.9600,9908900
20120217,12.6400,12.9500,12.5100,12.5100,14315600
20120221,12.7100,12.9000,12.5500,12.6700,5407700
20120222,12.4500,12.7500,12.4100,12.7400,4381800
20120223,12.4700,12.5000,12.3100,12.4000,4104600
20120224,12.5000,12.5500,12.4400,12.4600,3355700
20120227,12.3900,12.4400,12.2200,12.4100,2821100
20120228,12.5400,12.5700,12.3400,12.4200,4526300
20120229,12.3800,12.7500,12.3700,12.6500,11310200
20120301,12.6400,12.7000,12.4000,12.4100,4719300
20120302,12.4500,12.7200,12.4200,12.7000,2515100
20120305,12.3100,12.4500,12.2700,12.4000,3236600
20120306,11.8100,12.2100,11.8100,12.1600,9817600
20120307,11.8000,11.8900,11.6600,11.8400,3822000
20120308,12.0000,12.0600,11.8100,11.9000,2754100
20120309,12.2200,12.2400,12.0200,12.0900,3194100
20120312,12.2700,12.3300,12.1400,12.2400,4823800
20120313,12.6500,12.7100,12.3000,12.3400,4897200
20120314,13.4900,14.0300,12.7500,12.7500,18413500
20120315,13.7200,13.7800,13.4200,13.6300,7462100
20120316,13.7100,14.0700,13.6700,13.8000,15653500
20120319,13.6000,13.9400,13.5600,13.7000,3290700
20120320,13.5200,13.5800,13.2400,13.4500,4066600
20120321,13.4400,13.6000,13.3400,13.5100,3450100
20120322,13.5400,13.5900,13.2500,13.3700,3689600
20120323,13.6600,13.6700,13.4500,13.5100,3876600
20120326,13.9600,14.0400,13.6900,13.7500,6678100
20120327,13.8500,13.9800,13.7400,13.9600,3400000
20120328,13.7600,13.8700,13.6900,13.8000,3595400
20120329,13.4600,13.7100,13.2000,13.6600,7956700
20120330,13.5100,13.7500,13.4600,13.5500,5127700
20120402,13.7100,13.7300,13.3500,13.4100,2920400
20120403,13.3600,13.6700,13.3000,13.6700,3981300
20120404,13.1900,13.3500,13.0700,13.1800,4296800
20120405,13.1400,13.2000,13.0200,13.1600,4300000
20120409,12.7300,12.9900,12.7100,12.9700,3900000
20120410,12.3600,12.7400,12.2800,12.7100,7669900
20120411,12.6300,12.6900,12.3900,12.5500,6231800
20120412,13.4000,13.5100,12.6300,12.6700,6324800
20120413,12.9400,13.3200,12.8600,13.2700,4991200
20120416,12.9400,13.1700,12.8700,13.1100,3640000
20120417,13.2800,13.3900,13.0100,13.0200,3900700
20120418,13.2200,13.3500,13.0500,13.1700,2911200
20120419,13.4700,13.5100,13.2000,13.2300,7717400
20120420,13.3200,13.6400,13.2800,13.5900,3130500
20120423,13.1300,13.1500,12.9200,13.0300,3453000
20120424,13.1600,13.2500,13.0600,13.1100,2295100
20120425,13.3800,13.3800,13.0800,13.3000,3332200
20120426,13.3200,13.3900,13.1700,13.2700,3303500
20120427,13.6400,13.6400,13.2600,13.3100,2828500
20120430,13.5100,13.6000,13.3100,13.5500,3000000
20120501,13.3100,13.6800,13.2800,13.5300,4302000
20120502,13.3400,13.3800,13.0600,13.1500,3565600
20120503,12.9800,13.8600,12.6800,13.8500,8300000
20120504,12.6500,12.9100,12.5200,12.8200,4251600
20120507,12.6300,12.7300,12.4800,12.5700,3581700
20120508,12.4300,12.6300,12.2800,12.6000,5431800
20120509,12.1900,12.3700,12.1200,12.3000,5700000
20120510,12.2000,12.3500,12.1900,12.3400,6500000
20120511,12.3600,12.4800,12.0100,12.0900,8246800
20120514,12.0000,12.1600,11.9700,12.1000,5500000
20120515,11.6400,12.0300,11.5700,11.9900,4372600
20120516,11.2500,11.7900,11.2400,11.7100,4600000
20120517,11.1600,11.3400,11.1200,11.2700,12669900
20120518,10.9900,11.3500,10.9600,11.3500,3200000
20120522,11.2900,11.4400,11.1900,11.2100,5300000
20120523,11.2300,11.2500,10.8000,11.1200,5662900
20120524,11.3700,11.4800,11.1400,11.4800,6199400
20120525,11.2300,11.3500,11.1900,11.3000,2477400
20120528,11.4900,11.5100,11.2300,11.3400,3218400
20120529,11.4100,11.5300,11.2600,11.5300,2037200
20120530,10.9000,11.2500,10.9000,11.1700,5430800
20120531,11.1300,11.1600,10.7600,10.9900,6178800
20120601,10.5100,10.8500,10.4900,10.7500,8636000
20120604,10.5800,10.6600,10.3900,10.5500,3549100
20120605,10.7700,10.8300,10.5300,10.5400,3423500
20120606,11.0300,11.0600,10.7800,10.8700,4483700
20120607,11.0200,11.3200,10.9900,11.1500,4438600
20120608,10.8200,11.0200,10.7800,10.9300,3676900
20120611,10.6800,11.1100,10.6400,11.1000,2896700
20120612,10.8000,10.9300,10.7000,10.7200,3418700
20120613,10.7700,11.0900,10.7200,10.7300,3953900
20120614,10.5700,10.8700,10.5700,10.8300,4654800
20120615,10.7400,10.8400,10.6300,10.6600,9507500
20120618,11.0100,11.1300,10.6800,10.7000,16787500
20120619,11.2400,11.3500,11.0700,11.0700,4967400
20120620,11.2000,11.3200,11.0600,11.3200,2785100
20120621,10.8400,11.2800,10.8200,11.1600,3037200
20120622,10.8600,11.0200,10.7700,10.9100,2003200
20120625,10.5500,10.7800,10.5200,10.7600,2256700
20120626,10.7500,10.7700,10.5200,10.6300,4646200
20120627,10.8400,10.8400,10.6400,10.7600,2301000
20120628,10.7700,10.7700,10.5800,10.6900,4339300
20120629,11.0900,11.1700,10.9800,11.0800,6435800
20120703,11.3600,11.4900,11.1000,11.2300,3825900
20120704,11.4500,11.5200,11.3600,11.3900,1470400
20120705,11.2400,11.4500,11.2300,11.4500,2862500
20120706,10.9000,11.1300,10.8200,11.1000,4118400
20120709,11.0500,11.1200,10.8400,10.9100,3113100
20120710,10.9600,11.1700,10.9000,11.0700,2604000
20120711,11.1000,11.1400,10.9800,11.0200,1841300
20120712,10.6500,11.0300,10.6500,10.9600,3210200
20120713,10.8800,10.9000,10.7200,10.7500,2145900
20120716,10.7200,10.8400,10.6000,10.8200,6587100
20120717,10.7400,10.7800,10.6500,10.7300,1863600
20120718,10.7200,10.8700,10.6800,10.7500,1447500
20120719,10.8600,10.9000,10.7400,10.8100,1918500
20120720,10.6700,10.8100,10.6500,10.8100,2075200
20120723,10.3000,10.6000,10.2500,10.6000,4420700
20120724,10.2900,10.4400,10.2500,10.3600,2074500
20120725,10.2200,10.3700,10.1800,10.3500,1733500
20120726,10.4200,10.4300,10.2300,10.3500,3505300
20120727,10.8000,10.8300,10.4600,10.5500,2634000
20120730,10.7000,10.8500,10.6600,10.8400,1417200
20120731,10.7700,10.7900,10.5900,10.7900,2713200
20120801,10.4900,10.8400,10.4500,10.8300,2609200
20120802,10.3600,10.5400,10.3200,10.4100,2173200
20120803,10.7700,10.7900,10.5600,10.5600,2198100
20120807,11.0500,11.0500,10.7800,10.8000,3434600
20120808,10.8300,11.0200,10.8300,11.0200,1949700
20120809,10.8900,11.0000,10.6400,10.6500,2273700
20120810,10.9600,10.9600,10.8000,10.8500,2841400
20120813,11.2300,11.3100,10.8800,10.9200,3932700
20120814,11.3600,11.5100,11.2500,11.2500,3835100
20120815,11.3100,11.4400,11.2300,11.4400,3434100
20120816,11.5500,11.5600,11.2400,11.3400,2633100
20120817,11.3400,11.4900,11.3100,11.4800,5288900
20120820,11.1400,11.3500,11.0900,11.2800,3439600
20120821,11.0900,11.3100,11.0700,11.2100,4017800
20120822,11.1600,11.1900,11.0200,11.0700,1991000
20120823,10.8600,11.1300,10.8200,11.1000,3395900
20120824,10.9600,11.1000,10.8400,10.8500,1457400
20120827,10.9400,11.0300,10.9100,10.9900,964300
20120828,11.0300,11.1100,10.9100,10.9600,3861500
20120829,11.2700,11.2800,11.0000,11.1000,3037700
20120830,11.1400,11.2300,11.0600,11.2000,1697500
20120831,11.0400,11.2800,11.0200,11.2500,2895400
20120904,11.1700,11.3000,11.0400,11.0700,2239600
20120905,11.2500,11.3100,11.1300,11.1300,2294700
20120906,11.5000,11.5300,11.3200,11.3200,3427100
20120907,11.7500,11.7900,11.5400,11.5600,2955600
20120910,11.5800,11.8000,11.5600,11.7000,1670400
20120911,11.7500,11.8400,11.6000,11.6400,2689000
20120912,11.5800,11.9600,11.5700,11.8500,4017600
20120913,12.1400,12.1600,11.5200,11.6600,6019600
20120914,12.6400,12.9200,12.2100,12.3300,9369400
20120917,12.2800,12.6700,12.2700,12.6100,3667800
20120918,12.0800,12.2900,12.0800,12.2700,4171900
20120919,12.1000,12.2000,12.0700,12.1700,1639100
20120920,11.8600,12.0400,11.8100,12.0000,3404100
20120921,11.7700,12.0200,11.7700,11.9100,11834500
20120924,11.9100,12.0000,11.6400,11.6500,2187900
20120925,11.7900,12.1100,11.7500,11.9600,2326900
20120926,11.7200,11.8200,11.5000,11.6500,3389200
20120927,11.9000,11.9900,11.7500,11.8900,2460000
20120928,11.8500,11.9400,11.7100,11.7700,4051000
20121001,11.8700,12.0800,11.8400,11.9300,1655800
20121002,11.9200,11.9800,11.8400,11.9800,1878400
20121003,11.9600,12.0700,11.8500,11.9900,1690400
20121004,12.1900,12.2500,11.9900,12.0200,2005200
20121005,12.3200,12.4400,12.2600,12.2700,2738100
20121009,11.9500,12.2700,11.9500,12.2200,3023400
20121010,11.8400,11.9900,11.7800,11.9000,2128600
20121011,11.9300,12.0400,11.8800,11.9900,1830100
20121012,11.8500,12.0000,11.7600,11.9200,2019200
20121015,12.0300,12.0400,11.8500,11.9100,1504300
20121016,12.3300,12.3400,12.1000,12.1000,2428800
20121017,12.3800,12.4000,12.2700,12.3700,3110900
20121018,12.5400,12.6200,12.2800,12.2900,3325100
20121019,12.3400,12.5700,12.2300,12.4500,1726300
20121022,12.3700,12.4700,12.2800,12.3800,2336100
20121023,12.1500,12.1900,12.0200,12.1800,3331400
20121024,12.1900,12.2900,12.1300,12.2000,2500000
20121025,12.3900,12.4100,12.2500,12.3000,4473600
20121026,12.3000,12.4300,12.2800,12.3300,2304100
20121029,12.1400,12.3500,12.0600,12.3000,1760900
20121030,12.2700,12.3300,12.1100,12.1100,1144600
20121031,12.3400,12.4300,12.2800,12.3200,2041200
20121101,12.3600,12.4700,12.3400,12.3800,2692800
20121102,12.5600,12.5800,12.3300,12.4200,2842800
20121105,12.5400,12.5500,12.4300,12.4600,1529000
20121106,12.5200,12.5900,12.4200,12.5500,2757700
20121107,12.0000,12.3700,12.0000,12.3500,4768500
20121108,11.8200,12.1500,11.6900,12.0900,8451800
20121109,12.1800,12.2600,11.7400,11.8000,5700900
20121112,12.3000,12.3300,12.1800,12.2000,1794200
20121113,12.1500,12.2800,12.1100,12.1100,3599300
20121114,11.9600,12.3700,11.9400,12.2300,6673400
20121115,11.9400,12.0700,11.7600,11.9400,5010300
20121116,11.9300,11.9500,11.6500,11.9200,3421200
20121119,12.1000,12.1200,11.9200,12.1200,3169500
20121120,12.1500,12.1500,11.9800,12.1000,4138400
20121121,12.3600,12.3900,12.1000,12.1300,3894200
20121122,12.4000,12.5500,12.3000,12.4500,2023600
20121123,12.4300,12.5200,12.3400,12.4000,1740800
20121126,12.4800,12.4900,12.3500,12.4100,1921300
20121127,12.4900,12.5500,12.4400,12.5200,2933900
20121128,12.6200,12.6500,12.3200,12.3500,2681100
20121129,12.8300,12.8900,12.6900,12.7100,4201800
20121130,12.7800,12.9400,12.6500,12.8800,6417600
20121203,12.7400,12.8800,12.6300,12.8800,2307000
20121204,12.7600,12.8100,12.6300,12.6500,4079400
20121205,12.8600,12.9500,12.7700,12.7800,2977100
20121206,12.8600,12.9300,12.7700,12.9100,2853200
20121207,12.9300,12.9500,12.8100,12.9200,3376300
20121210,13.0300,13.0600,12.8500,12.9500,3880900
20121211,13.1600,13.2300,13.0500,13.0500,4451300
20121212,13.1000,13.2200,13.0300,13.1500,4669900
20121213,12.9900,13.2400,12.9900,13.0600,4173700
20121214,12.9500,13.0800,12.9200,12.9600,3739000
20121217,13.0000,13.0800,12.9500,12.9500,6641600
20121218,13.4300,13.4900,13.0500,13.0800,8243000
20121219,13.6000,13.7100,13.4500,13.5000,6416500
20121220,13.6600,13.6600,13.5400,13.6000,3703500
20121221,13.5000,13.6600,13.3800,13.6600,6822200
20121224,13.4900,13.5900,13.3800,13.4800,888500
20121227,13.4400,13.5100,13.2700,13.4000,1687600
20121228,13.3900,13.4400,13.3000,13.3100,1203900
20121231,13.5100,13.5900,13.3100,13.4300,1976800
20130102,13.6700,13.8400,13.5600,13.7500,4075400
20130103,13.9400,13.9500,13.6100,13.6600,4911700
20130104,14.0200,14.1500,13.9300,13.9500,6868200
20130107,14.0300,14.0600,13.8400,14.0600,2966000
20130108,14.3900,14.3900,14.0400,14.0400,5751800
20130109,14.1300,14.4500,14.0100,14.3800,4673200
20130110,14.0900,14.2200,14.0500,14.1600,3042800
20130111,14.1800,14.1900,14.0500,14.1500,1759800
20130114,14.3200,14.3700,14.2000,14.3000,3296700
20130115,14.1200,14.2000,13.9100,14.1300,5447400
20130116,14.0000,14.0900,13.9500,14.0400,1797600
20130117,14.1200,14.2200,13.9900,14.0000,3488100
20130118,14.3000,14.3600,14.1500,14.1800,2199300
20130121,14.4400,14.4800,14.3000,14.3000,4146200
20130122,14.6900,14.7400,14.4000,14.4800,2658800
20130123,14.6700,14.7300,14.5300,14.6100,2453000
20130124,14.7900,14.9100,14.7200,14.7500,2661000
20130125,14.8000,14.9700,14.6200,14.9500,3903800
20130128,14.7200,14.9200,14.6300,14.9200,2767300
20130129,14.6700,14.6700,14.5300,14.6700,7359000
20130130,14.6300,14.7200,14.5800,14.6400,3399000
20130131,14.4000,14.6300,14.3800,14.6300,3169600
20130201,14.4400,14.5700,14.4300,14.4300,3244300
20130204,14.3800,14.4500,14.2100,14.3000,3033800
20130205,14.5100,14.5900,14.4000,14.4000,2938000
20130206,14.4100,14.5500,14.3200,14.4100,3756300
20130207,14.5500,14.6700,14.4200,14.5000,6722600
20130208,14.8400,14.9100,14.7300,14.7500,4740900
20130211,15.2800,15.3600,14.8400,14.9000,7782900
20130212,15.4000,15.7500,15.2200,15.3000,12806900
20130213,15.2100,15.5600,15.1100,15.5500,12658300
20130214,15.3700,15.4300,15.0400,15.1800,5335000
20130215,15.5200,15.5700,15.2100,15.2200,5362000
20130219,15.5300,15.6000,15.3800,15.6000,4698700
20130220,15.1900,15.6100,15.1100,15.5000,4399300
20130221,15.0100,15.1400,14.9100,15.0800,6335400
20130222,15.1500,15.1800,15.0500,15.0600,3362900
20130225,14.8400,15.3500,14.8200,15.2500,3696700
20130226,14.9000,14.9400,14.7600,14.8500,7070600
20130227,15.1900,15.2000,14.8300,14.8300,3000600
20130228,15.3000,15.3300,15.1100,15.1900,3864200
20130301,15.2300,15.3200,15.0600,15.2300,5361700
20130304,15.2000,15.2600,15.1000,15.1800,1878500
20130305,15.3500,15.4800,15.2900,15.3500,2070000
20130306,15.3900,15.5000,15.3700,15.5000,1463200
20130307,15.4100,15.4700,15.3200,15.4300,2678000
20130308,15.5100,15.5700,15.4200,15.4600,5290300
20130311,15.6500,15.6700,15.4100,15.5000,2122400
20130312,15.5000,15.6900,15.4800,15.5900,6123200
20130313,15.4000,15.6400,15.4000,15.5400,3920500
20130314,15.4300,15.4700,15.3200,15.4300,3984500
20130315,15.4800,15.6700,15.3800,15.4400,6999600
20130318,15.2500,15.4500,15.2400,15.3800,3252500
20130319,15.2100,15.3800,15.1100,15.3500,3518900
20130320,15.3800,15.3800,15.1900,15.3200,2335500
20130321,15.1200,15.3800,15.1000,15.3800,3025500
20130322,15.2100,15.2500,15.0500,15.1100,2801400
20130325,14.9700,15.3100,14.9300,15.2600,3005600
20130326,15.0400,15.0600,14.9000,15.0000,2554200
20130327,14.8000,14.9700,14.7600,14.9700,3037700
20130328,14.9600,15.0000,14.6300,14.7500,4322300
20130401,14.7400,14.9700,14.7300,14.9700,1427100
20130402,15.0600,15.0600,14.7300,14.7300,2216300
20130403,14.5800,15.1100,14.5500,15.0900,3627200
20130404,14.3100,14.6500,14.2200,14.5700,2828200
20130405,14.1000,14.1300,13.8300,14.1000,3774000
20130408,14.1200,14.2200,13.9800,14.0400,3976700
20130409,14.2600,14.3200,14.0100,14.1600,3977100
20130410,14.6500,14.7400,14.3100,14.3800,2858600
20130411,14.4200,14.6000,14.3500,14.5600,2048000
